,listing_count,avg_price,lowest_price_good,lowest_price,highest_price,city,venuename,venuescore,ticket_score,id,home_team,away_team,hometeamscore,awayteamscore,dateutc,daysaway,dateloaded,cntStars_home,WPCT_home,STRK_home,rankNBA_home,cntStars_away,WPCT_away,STRK_away,rankNBA_away,HomeAVG,HomePCT,AwayAVG,AwayPCT,TotalAVG,TotalPCT,Population,numTeams,holiday,weekday,dateutcindateform
0,815.0,62.0,20.0,20.0,1800.0,Miami,American Airlines Arena,0.85776,0.78884,2759732,Miami Heat,Boston Celtics,0.78556,0.74908,2015-12-01,2,2015-11-29,2,0.667,1.0,5,0,0.563,2.0,12,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-01
1,3431.0,146.0,49.0,49.0,6505.0,Miami,American Airlines Arena,0.85776,0.84152,2759651,Miami Heat,Brooklyn Nets,0.78556,0.75524,2015-12-29,30,2015-11-29,2,0.667,1.0,5,3,0.188,-2.0,28,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-29
2,4093.0,76.0,18.0,18.0,4435.0,Miami,American Airlines Arena,0.85776,0.82779,2759635,Miami Heat,Brooklyn Nets,0.78556,0.75524,2016-03-28,120,2015-11-29,2,0.667,1.0,5,3,0.188,-2.0,28,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-28
3,3886.0,125.0,36.0,36.0,5914.0,Miami,American Airlines Arena,0.85776,0.84336,2759767,Miami Heat,New York Knicks,0.78556,0.81215,2016-01-07,39,2015-11-29,2,0.667,1.0,5,1,0.471,-3.0,19,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-01-07
4,4046.0,78.0,20.0,20.0,4140.0,Miami,American Airlines Arena,0.85776,0.83536,2759683,Miami Heat,Philadelphia 76ers,0.78556,0.70023,2016-03-06,98,2015-11-29,2,0.667,1.0,5,0,0.0,-17.0,30,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-03-06
5,3483.0,100.0,32.0,32.0,4731.0,Miami,American Airlines Arena,0.85776,0.82222,2759671,Miami Heat,Toronto Raptors,0.78556,0.68539,2015-12-19,20,2015-11-29,2,0.667,1.0,5,1,0.647,4.0,7,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2015-12-19
6,3838.0,141.0,33.0,33.0,5914.0,Miami,American Airlines Arena,0.85776,0.84987,2759649,Miami Heat,Chicago Bulls,0.78556,0.76158,2016-03-02,94,2015-11-29,2,0.667,1.0,5,2,0.643,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-03-02
7,4050.0,142.0,39.0,39.0,7688.0,Miami,American Airlines Arena,0.85776,0.8489,2759652,Miami Heat,Chicago Bulls,0.78556,0.76158,2016-04-08,131,2015-11-29,2,0.667,1.0,5,2,0.643,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-04-08
8,3049.0,217.5,79.0,79.0,8870.0,Miami,American Airlines Arena,0.85776,0.87277,2759681,Miami Heat,Cleveland Cavaliers,0.78556,0.64462,2015-12-06,7,2015-11-29,2,0.667,1.0,5,2,0.765,2.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-06
9,4098.0,271.0,100.0,100.0,10053.0,Miami,American Airlines Arena,0.85776,0.87339,2759656,Miami Heat,Cleveland Cavaliers,0.78556,0.64462,2016-03-19,111,2015-11-29,2,0.667,1.0,5,2,0.765,2.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-19
10,3798.0,95.0,30.0,30.0,4435.0,Miami,American Airlines Arena,0.85776,0.82875,2759687,Miami Heat,Detroit Pistons,0.78556,0.63675,2015-12-23,24,2015-11-29,2,0.667,1.0,5,0,0.5,-1.0,17,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2015-12-23
11,4183.0,75.0,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85776,0.8147,2759686,Miami Heat,Detroit Pistons,0.78556,0.63675,2016-04-05,128,2015-11-29,2,0.667,1.0,5,0,0.5,-1.0,17,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-04-05
12,3390.0,92.5,25.0,25.0,4140.0,Miami,American Airlines Arena,0.85776,0.81682,2759637,Miami Heat,Indiana Pacers,0.78556,0.67765,2016-01-05,37,2015-11-29,2,0.667,1.0,5,2,0.667,4.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-01-05
13,4190.0,71.0,14.0,14.0,4140.0,Miami,American Airlines Arena,0.85776,0.81419,2759647,Miami Heat,Indiana Pacers,0.78556,0.67765,2016-02-23,86,2015-11-29,2,0.667,1.0,5,2,0.667,4.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-02-23
14,4061.0,67.0,18.0,18.0,3548.0,Miami,American Airlines Arena,0.85776,0.83163,2759664,Miami Heat,Milwaukee Bucks,0.78556,0.63561,2016-01-20,52,2015-11-29,2,0.667,1.0,5,0,0.353,-3.0,25,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-01-20
15,3605.0,89.0,22.0,22.0,4140.0,Miami,American Airlines Arena,0.85776,0.80844,2759634,Miami Heat,Atlanta Hawks,0.78556,0.68801,2016-01-31,63,2015-11-29,2,0.667,1.0,5,0,0.579,-1.0,11,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-01-31
16,4087.0,76.0,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85776,0.80312,2759853,Miami Heat,Charlotte Hornets,0.78556,0.6621,2016-03-17,109,2015-11-29,2,0.667,1.0,5,1,0.588,1.0,10,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-03-17
17,3104.0,113.0,33.0,33.0,4731.0,Miami,American Airlines Arena,0.85776,0.82972,2759684,Miami Heat,Oklahoma City Thunder,0.78556,0.70262,2015-12-04,5,2015-11-29,2,0.667,1.0,5,3,0.647,4.0,6,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2015-12-04
18,3317.0,70.0,14.0,14.0,3548.0,Miami,American Airlines Arena,0.85776,0.81002,2759657,Miami Heat,Washington Wizards,0.78556,0.71492,2015-12-08,9,2015-11-29,2,0.667,1.0,5,2,0.429,-4.0,21,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-08
19,3909.0,112.0,27.0,27.0,4435.0,Miami,American Airlines Arena,0.85776,0.83469,2759679,Miami Heat,Washington Wizards,0.78556,0.71492,2016-02-21,84,2015-11-29,2,0.667,1.0,5,2,0.429,-4.0,21,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-02-21
20,3363.0,92.0,27.0,27.0,4140.0,Miami,American Airlines Arena,0.85776,0.81584,2759667,Miami Heat,Memphis Grizzlies,0.78556,0.6739,2015-12-13,14,2015-11-29,2,0.667,1.0,5,2,0.529,-1.0,14,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-13
21,3908.0,92.0,29.0,29.0,4435.0,Miami,American Airlines Arena,0.85776,0.81833,2759979,Miami Heat,Portland Trail Blazers,0.78556,0.68068,2015-12-20,21,2015-11-29,2,0.667,1.0,5,1,0.412,1.0,22,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-20
22,3228.0,136.0,46.0,46.0,5914.0,Miami,American Airlines Arena,0.85776,0.84441,2759661,Miami Heat,New Orleans Pelicans,0.78556,0.6474,2015-12-25,26,2015-11-29,2,0.667,1.0,5,1,0.235,-2.0,27,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,1,Friday,2015-12-25
23,3210.0,225.0,69.0,69.0,10053.0,Miami,American Airlines Arena,0.85776,0.83816,2759662,Miami Heat,Dallas Mavericks,0.78556,0.72552,2016-01-02,34,2015-11-29,2,0.667,1.0,5,3,0.588,1.0,9,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-01-02
24,3932.0,145.0,45.0,45.0,6505.0,Miami,American Airlines Arena,0.85776,0.83866,2759689,Miami Heat,Los Angeles Clippers,0.78556,0.75476,2016-02-07,70,2015-11-29,2,0.667,1.0,5,2,0.5,1.0,15,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-02-07
25,3995.0,152.0,48.0,48.0,6800.0,Miami,American Airlines Arena,0.85776,0.83696,2759682,Miami Heat,San Antonio Spurs,0.78556,0.70492,2016-02-10,73,2015-11-29,2,0.667,1.0,5,1,0.824,5.0,2,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-02-10
26,3474.0,232.0,59.0,59.0,10644.0,Miami,American Airlines Arena,0.85776,0.85316,2760131,Miami Heat,Golden State Warriors,0.78556,0.75952,2016-02-25,88,2015-11-29,2,0.667,1.0,5,3,1.0,18.0,1,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-02-25
27,4277.0,68.0,11.0,11.0,4140.0,Miami,American Airlines Arena,0.85776,0.80074,2759645,Miami Heat,Phoenix Suns,0.78556,0.65702,2016-03-04,96,2015-11-29,2,0.667,1.0,5,1,0.438,-4.0,20,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-03-04
28,3864.0,77.5,15.0,15.0,3784.0,Miami,American Airlines Arena,0.85776,0.81615,2759648,Miami Heat,Denver Nuggets,0.78556,0.6663,2016-03-14,106,2015-11-29,2,0.667,1.0,5,0,0.353,-6.0,24,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-14
29,3893.0,98.0,23.0,23.0,4140.0,Miami,American Airlines Arena,0.85776,0.81738,2759639,Miami Heat,Orlando Magic,0.78556,0.67859,2016-03-26,118,2015-11-29,2,0.667,1.0,5,0,0.5,2.0,18,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-26
30,4151.0,85.0,10.0,10.0,4731.0,Miami,American Airlines Arena,0.85776,0.81302,2759646,Miami Heat,Orlando Magic,0.78556,0.67859,2016-04-10,133,2015-11-29,2,0.667,1.0,5,0,0.5,2.0,18,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-04-10
31,29.0,57.0,7.0,7.0,202.0,Miami,American Airlines Arena,0.85776,0.78884,2759732,Miami Heat,Boston Celtics,0.78556,0.74908,2015-12-01,1,2015-11-30,2,0.667,1.0,5,0,0.529,-1.0,16,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-01
32,3399.0,146.0,45.0,45.0,6505.0,Miami,American Airlines Arena,0.85776,0.84152,2759651,Miami Heat,Brooklyn Nets,0.78556,0.75524,2015-12-29,29,2015-11-30,2,0.667,1.0,5,3,0.235,1.0,27,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-29
33,4072.0,76.0,18.0,18.0,4435.0,Miami,American Airlines Arena,0.85776,0.82779,2759635,Miami Heat,Brooklyn Nets,0.78556,0.75524,2016-03-28,119,2015-11-30,2,0.667,1.0,5,3,0.235,1.0,27,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-28
34,3847.0,125.0,35.0,35.0,5914.0,Miami,American Airlines Arena,0.85776,0.84336,2759767,Miami Heat,New York Knicks,0.78556,0.81215,2016-01-07,38,2015-11-30,2,0.667,1.0,5,1,0.444,-4.0,20,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-01-07
35,4018.0,79.0,20.0,20.0,4140.0,Miami,American Airlines Arena,0.85776,0.83536,2759683,Miami Heat,Philadelphia 76ers,0.78556,0.70023,2016-03-06,97,2015-11-30,2,0.667,1.0,5,0,0.0,-18.0,30,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-03-06
36,3424.0,98.5,35.0,35.0,4731.0,Miami,American Airlines Arena,0.85776,0.82222,2759671,Miami Heat,Toronto Raptors,0.78556,0.68539,2015-12-19,19,2015-11-30,2,0.667,1.0,5,1,0.611,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2015-12-19
37,3822.0,142.0,33.0,33.0,5914.0,Miami,American Airlines Arena,0.85776,0.84987,2759649,Miami Heat,Chicago Bulls,0.78556,0.76158,2016-03-02,93,2015-11-30,2,0.667,1.0,5,2,0.643,-1.0,7,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-03-02
38,4042.0,142.0,39.0,39.0,7688.0,Miami,American Airlines Arena,0.85776,0.8489,2759652,Miami Heat,Chicago Bulls,0.78556,0.76158,2016-04-08,130,2015-11-30,2,0.667,1.0,5,2,0.643,-1.0,7,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-04-08
39,2979.0,210.5,73.0,73.0,8279.0,Miami,American Airlines Arena,0.85776,0.87277,2759681,Miami Heat,Cleveland Cavaliers,0.78556,0.64462,2015-12-06,6,2015-11-30,2,0.667,1.0,5,2,0.765,2.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-06
40,4075.0,273.0,101.0,101.0,10053.0,Miami,American Airlines Arena,0.85776,0.87339,2759656,Miami Heat,Cleveland Cavaliers,0.78556,0.64462,2016-03-19,110,2015-11-30,2,0.667,1.0,5,2,0.765,2.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-19
41,3737.0,96.0,26.0,26.0,4435.0,Miami,American Airlines Arena,0.85776,0.82875,2759687,Miami Heat,Detroit Pistons,0.78556,0.63675,2015-12-23,23,2015-11-30,2,0.667,1.0,5,0,0.471,-2.0,19,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2015-12-23
42,4169.0,75.0,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85776,0.8147,2759686,Miami Heat,Detroit Pistons,0.78556,0.63675,2016-04-05,127,2015-11-30,2,0.667,1.0,5,0,0.471,-2.0,19,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-04-05
43,3394.0,94.0,26.0,26.0,4140.0,Miami,American Airlines Arena,0.85776,0.81682,2759637,Miami Heat,Indiana Pacers,0.78556,0.67765,2016-01-05,36,2015-11-30,2,0.667,1.0,5,2,0.688,5.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-01-05
44,4189.0,72.0,17.0,17.0,4140.0,Miami,American Airlines Arena,0.85776,0.81419,2759647,Miami Heat,Indiana Pacers,0.78556,0.67765,2016-02-23,85,2015-11-30,2,0.667,1.0,5,2,0.688,5.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-02-23
45,4057.0,67.0,18.0,18.0,3548.0,Miami,American Airlines Arena,0.85776,0.83163,2759664,Miami Heat,Milwaukee Bucks,0.78556,0.63561,2016-01-20,51,2015-11-30,2,0.667,1.0,5,0,0.353,-3.0,25,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-01-20
46,3573.0,89.0,22.0,22.0,4140.0,Miami,American Airlines Arena,0.85776,0.80844,2759634,Miami Heat,Atlanta Hawks,0.78556,0.68801,2016-01-31,62,2015-11-30,2,0.667,1.0,5,0,0.579,-1.0,11,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-01-31
47,4072.0,76.0,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85776,0.80312,2759853,Miami Heat,Charlotte Hornets,0.78556,0.6621,2016-03-17,108,2015-11-30,2,0.667,1.0,5,1,0.588,1.0,10,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-03-17
48,2979.0,111.0,23.0,23.0,4140.0,Miami,American Airlines Arena,0.85776,0.82972,2759684,Miami Heat,Oklahoma City Thunder,0.78556,0.70262,2015-12-04,4,2015-11-30,2,0.667,1.0,5,3,0.647,4.0,6,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2015-12-04
49,3127.0,65.0,13.0,13.0,3548.0,Miami,American Airlines Arena,0.85776,0.81002,2759657,Miami Heat,Washington Wizards,0.78556,0.71492,2015-12-08,8,2015-11-30,2,0.667,1.0,5,2,0.429,-4.0,21,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-08
50,3861.0,113.0,27.0,27.0,4435.0,Miami,American Airlines Arena,0.85776,0.83469,2759679,Miami Heat,Washington Wizards,0.78556,0.71492,2016-02-21,83,2015-11-30,2,0.667,1.0,5,2,0.429,-4.0,21,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-02-21
51,3267.0,91.0,28.0,28.0,4140.0,Miami,American Airlines Arena,0.85776,0.81584,2759667,Miami Heat,Memphis Grizzlies,0.78556,0.6739,2015-12-13,13,2015-11-30,2,0.667,1.0,5,2,0.556,1.0,12,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-13
52,3923.0,94.0,32.0,32.0,4435.0,Miami,American Airlines Arena,0.85776,0.81833,2759979,Miami Heat,Portland Trail Blazers,0.78556,0.68068,2015-12-20,20,2015-11-30,2,0.667,1.0,5,1,0.412,1.0,23,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-20
53,3151.0,137.0,37.0,37.0,5914.0,Miami,American Airlines Arena,0.85776,0.84441,2759661,Miami Heat,New Orleans Pelicans,0.78556,0.6474,2015-12-25,25,2015-11-30,2,0.667,1.0,5,1,0.235,-2.0,28,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,1,Friday,2015-12-25
54,3176.0,225.0,68.0,68.0,10053.0,Miami,American Airlines Arena,0.85776,0.83816,2759662,Miami Heat,Dallas Mavericks,0.78556,0.72552,2016-01-02,33,2015-11-30,2,0.667,1.0,5,3,0.588,1.0,9,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-01-02
55,3900.0,145.0,45.0,45.0,6505.0,Miami,American Airlines Arena,0.85776,0.83866,2759689,Miami Heat,Los Angeles Clippers,0.78556,0.75476,2016-02-07,69,2015-11-30,2,0.667,1.0,5,2,0.529,2.0,14,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-02-07
56,3987.0,152.0,48.0,48.0,6800.0,Miami,American Airlines Arena,0.85776,0.83696,2759682,Miami Heat,San Antonio Spurs,0.78556,0.70492,2016-02-10,72,2015-11-30,2,0.667,1.0,5,1,0.824,5.0,2,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-02-10
57,3423.0,235.0,59.0,59.0,10644.0,Miami,American Airlines Arena,0.85776,0.85316,2760131,Miami Heat,Golden State Warriors,0.78556,0.75952,2016-02-25,87,2015-11-30,2,0.667,1.0,5,3,1.0,18.0,1,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-02-25
58,4281.0,68.0,11.0,11.0,4140.0,Miami,American Airlines Arena,0.85776,0.80074,2759645,Miami Heat,Phoenix Suns,0.78556,0.65702,2016-03-04,95,2015-11-30,2,0.667,1.0,5,1,0.471,1.0,17,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-03-04
59,3854.0,78.0,15.0,15.0,3784.0,Miami,American Airlines Arena,0.85776,0.81615,2759648,Miami Heat,Denver Nuggets,0.78556,0.6663,2016-03-14,105,2015-11-30,2,0.667,1.0,5,0,0.353,-6.0,24,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-14
60,3880.0,98.5,23.0,23.0,4140.0,Miami,American Airlines Arena,0.85776,0.81738,2759639,Miami Heat,Orlando Magic,0.78556,0.67859,2016-03-26,117,2015-11-30,2,0.667,1.0,5,0,0.529,3.0,15,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-26
61,4156.0,85.0,10.0,10.0,4731.0,Miami,American Airlines Arena,0.85776,0.81302,2759646,Miami Heat,Orlando Magic,0.78556,0.67859,2016-04-10,132,2015-11-30,2,0.667,1.0,5,0,0.529,3.0,15,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-04-10
62,3796.0,208.86,35.0,35.0,5617.0,Miami,American Airlines Arena,0.85764,0.84069,2759767,Miami Heat,New York Knicks,0.78527,0.81207,2016-01-07,35,2015-12-03,2,0.625,-1.0,7,1,0.474,1.0,18,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-01-07
63,3307.0,175.94,33.0,33.0,4731.0,Miami,American Airlines Arena,0.85764,0.8184,2759671,Miami Heat,Toronto Raptors,0.78527,0.68543,2015-12-19,16,2015-12-03,2,0.625,-1.0,7,1,0.632,1.0,6,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2015-12-19
64,3804.0,220.27,41.0,41.0,4731.0,Miami,American Airlines Arena,0.85764,0.84482,2759649,Miami Heat,Chicago Bulls,0.78527,0.7615,2016-03-02,90,2015-12-03,2,0.625,-1.0,7,2,0.688,2.0,5,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2016-03-02
65,4021.0,229.85,43.0,43.0,7688.0,Miami,American Airlines Arena,0.85764,0.84725,2759652,Miami Heat,Chicago Bulls,0.78527,0.7615,2016-04-08,127,2015-12-03,2,0.625,-1.0,7,2,0.688,2.0,5,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-04-08
66,2322.0,256.12,57.0,57.0,6511.0,Miami,American Airlines Arena,0.85764,0.86492,2759681,Miami Heat,Cleveland Cavaliers,0.78527,0.64461,2015-12-06,3,2015-12-03,2,0.625,-1.0,7,2,0.722,-1.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-06
67,4067.0,395.68,91.0,91.0,11827.0,Miami,American Airlines Arena,0.85764,0.8695,2759656,Miami Heat,Cleveland Cavaliers,0.78527,0.64461,2016-03-19,107,2015-12-03,2,0.625,-1.0,7,2,0.722,-1.0,3,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-19
68,3613.0,175.17,27.0,27.0,4435.0,Miami,American Airlines Arena,0.85764,0.82622,2759687,Miami Heat,Detroit Pistons,0.78527,0.63663,2015-12-23,20,2015-12-03,2,0.625,-1.0,7,0,0.526,2.0,16,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Wednesday,2015-12-23
69,4161.0,145.33,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85764,0.81423,2759686,Miami Heat,Detroit Pistons,0.78527,0.63663,2016-04-05,124,2015-12-03,2,0.625,-1.0,7,0,0.526,2.0,16,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-04-05
70,3297.0,165.67,26.0,26.0,4140.0,Miami,American Airlines Arena,0.85764,0.8155,2759637,Miami Heat,Indiana Pacers,0.78527,0.67765,2016-01-05,33,2015-12-03,2,0.625,-1.0,7,2,0.706,6.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-01-05
71,4165.0,139.7,21.0,21.0,4140.0,Miami,American Airlines Arena,0.85764,0.81124,2759647,Miami Heat,Indiana Pacers,0.78527,0.67765,2016-02-23,82,2015-12-03,2,0.625,-1.0,7,2,0.706,6.0,4,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2016-02-23
72,3891.0,170.72,23.0,23.0,4140.0,Miami,American Airlines Arena,0.85764,0.81525,2759639,Miami Heat,Orlando Magic,0.78527,0.67862,2016-03-26,114,2015-12-03,2,0.625,-1.0,7,0,0.556,4.0,12,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-03-26
73,4110.0,160.17,18.0,18.0,4731.0,Miami,American Airlines Arena,0.85764,0.80571,2759646,Miami Heat,Orlando Magic,0.78527,0.67862,2016-04-10,129,2015-12-03,2,0.625,-1.0,7,0,0.556,4.0,12,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-04-10
74,2920.0,62.0,12.0,12.0,2957.0,Miami,American Airlines Arena,0.85764,0.80638,2759657,Miami Heat,Washington Wizards,0.78527,0.71573,2015-12-08,5,2015-12-03,2,0.625,-1.0,7,2,0.438,-1.0,20,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Tuesday,2015-12-08
75,3894.0,179.01,25.0,25.0,4435.0,Miami,American Airlines Arena,0.85764,0.83429,2759679,Miami Heat,Washington Wizards,0.78527,0.71573,2016-02-21,80,2015-12-03,2,0.625,-1.0,7,2,0.438,-1.0,20,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-02-21
76,3849.0,146.36,14.0,14.0,3784.0,Miami,American Airlines Arena,0.85764,0.81455,2759648,Miami Heat,Denver Nuggets,0.78527,0.6663,2016-03-14,102,2015-12-03,2,0.625,-1.0,7,0,0.316,-8.0,26,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Monday,2016-03-14
77,1137.0,50.0,13.0,13.0,2957.0,Miami,American Airlines Arena,0.85769,0.81388,2759684,Miami Heat,Oklahoma City Thunder,0.78541,0.70262,2015-12-04,1,2015-12-03,2,0.625,-1.0,7,3,0.611,-1.0,8,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2015-12-04
78,3850.0,159.2,32.0,32.0,4435.0,Miami,American Airlines Arena,0.85764,0.81889,2759979,Miami Heat,Portland Trail Blazers,0.78527,0.68039,2015-12-20,17,2015-12-03,2,0.625,-1.0,7,1,0.368,-2.0,23,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2015-12-20
79,3352.0,333.36,68.0,68.0,10644.0,Miami,American Airlines Arena,0.85764,0.85213,2760131,Miami Heat,Golden State Warriors,0.78527,0.75952,2016-02-25,84,2015-12-03,2,0.625,-1.0,7,3,1.0,20.0,1,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Thursday,2016-02-25
80,3860.0,229.98,46.0,46.0,6505.0,Miami,American Airlines Arena,0.85764,0.83752,2759689,Miami Heat,Los Angeles Clippers,0.78527,0.75453,2016-02-07,66,2015-12-03,2,0.625,-1.0,7,2,0.526,-1.0,15,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Sunday,2016-02-07
81,4264.0,137.2,15.0,15.0,4140.0,Miami,American Airlines Arena,0.85764,0.79893,2759645,Miami Heat,Phoenix Suns,0.78527,0.65702,2016-03-04,92,2015-12-03,2,0.625,-1.0,7,1,0.421,-2.0,21,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Friday,2016-03-04
82,3125.0,294.63,73.0,73.0,10053.0,Miami,American Airlines Arena,0.85764,0.83611,2759662,Miami Heat,Dallas Mavericks,0.78527,0.72552,2016-01-02,30,2015-12-03,2,0.625,-1.0,7,3,0.579,1.0,10,19659.0,100.3,16840,84.2,18720,94.9,5764000.0,4.0,0,Saturday,2016-01-02
